Title,Date,data_file,Download Link
Regarding Participation in Seminar (Madesh Province),15 Jun 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220615072913-nDVig-20790230_Gosthi_MadheshProvince.pdf,http://dos.gov.np/download/download/regarding-participation-in-seminar-madesh-province/news
Urgent! Regarding Attending Online Meeting,03 Jun 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220603111612-TN4xU-अत्यन्त-जरुरी-अनलाईन-बैठकमा-सहभागी-हुने-सम्बन्धमा-compressed.pdf,http://dos.gov.np/download/download/a-alii-b-b/news
अभिमूखिकरण तालिम,03 Jun 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220603041517-ISpKf-अभिमूखिकरण-तालिम.pdf,http://dos.gov.np/download/download/a-l/news
कार्यक्रममा सहभागी हुने बारे(राष्ट्रिय भूमि आयोग वार्षिक समिक्षा गोष्ठी),30 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220530103241-7cdUW-NLC1_compressed.pdf,http://dos.gov.np/download/download/b-aa-2/news
कार्यक्रममा सहभागी हुने बारे(राष्ट्रिय भूमि आयोग त्रैमासिक समिक्षा गोष्ठी),30 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220530103117-yi1OE-NLC_compressed.pdf,http://dos.gov.np/download/download/b-aa/news
तलबमा अपुग हुने रकम निकासा सम्बन्धमा,27 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220527064028-ZtuAx-तलबमा-अपुग-हुने-रकम-निकासा-सम्बन्धमा.pdf,http://dos.gov.np/download/download/lb-a-b/news
Regarding Celebration of Anniversary,26 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220526094345-1YDCz-वार्षिकोत्सव-मनाउने.pdf,http://dos.gov.np/download/download/regarding-celebration-of-anniversary/news
Regarding Onlize Quiz Contest,26 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220526094234-ZQM5P-Online-quiz-competition-.pdf,http://dos.gov.np/download/download/regarding-onlize-quiz-contest/news
Regarding Implementation of Decision(Regarding effective implementation of the right to information),05 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220505081236-9Anu5-20790122_निर्णय_compressed.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decisionregarding-effective-implementation-of-the-right-to-information/news
Regarding Implementation of Decision(Decision of 59th Central Monitoring and Evaluation Committee),05 May 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220505080902-dwayY-20790122_निर्णय-कार्यान्वयन-सम्बन्धमा_compressed.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision-4/news
Regarding Implementation of Decision,17 Apr 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220417090706-T7S8X-20790104_निर्णय-कार्यान्वयन-सम्बन्धमा_अख्तियार.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision-3/news
Regarding Circular(Election Comission),17 Apr 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220417085609-kIHmp-20790104_परिपत्र-सम्बन्धमा_निर्वाचन.pdf,http://dos.gov.np/download/download/regarding-circularelection-comission/news
निर्णय कार्यान्वयन सम्बन्धमा -,29 Mar 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220329090805-okkik-20781214_All_निर्णय_कार्यान्वयन_सम्बन्धमा.pdf,http://dos.gov.np/download/download/b-1/news
Regarding Submission of Details( All Survey Offices),16 Mar 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220316104627-pWRXl-20781202_All_विवरण_पठाउने_बारे.pdf,http://dos.gov.np/download/download/regarding-submission-of-details-all-survey-offices/news
Regarding Australia Awards Scholorship,09 Mar 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220309060104-5xJZt-Australia-Awards-Scholorship-सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-australia-awards-scholorship/news
Regarding Instruction(National Land Commission),19 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220219095441-lcEN7-20781106_All_आवश्यक_निर्देशन_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-instructionnational-land-commission/news
Regarding Co-ordination and Co-operation,16 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220216125334-Zw8wY-20781104_All_सहयोग_तथा_समन्वय_सम्बन्धमा_compressed.pdf,http://dos.gov.np/download/download/regarding-co-ordination-and-co-operation/news
Very Urgent!!! Regarding Implementation of Suggestions (Followup),13 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220213052720-hKl9h-20781101_All_274.pdf,http://dos.gov.np/download/download/very-urgent-regarding-implementation-of-suggestions-followup/news
Regarding Submission of Scanned Copy and Soft Copy of Financial Statement,11 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220211064548-ymjEh-Account_FinancialStatement.pdf,http://dos.gov.np/download/download/regarding-submission-of-scanned-copy-and-soft-copy-of-financial-statement/news
Publication Related to Right to Information (2078 Kartik - Poush),03 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220203103351-zjz3O-RTI_2078_Kartik_to_Poush_compressed.pdf,http://dos.gov.np/download/download/publication-related-to-right-to-information-2078-kartik-poush/news
